Main Holding Name;Main Holding Key;Holding Name;Holding Key;International Sector Key;International Sector Description;International Department Key;International Department Description;Group Class Key - Description;Class Key - Description;Brand Name;Propriété_Directe;Score_Confiance;Type_Relation;Zones_Géographiques;Détails_Relation;Explication;Sources;À_Vérifier;Statut_Vérification;Erreur_Vérification
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;149 - ETHNIC PRODUCTS;1492 - SOUTH AMERICA;OLD EL PASO;True;100.0;Propriété directe;Amérique du Nord, Europe, Amérique Latine, Asie;OLD EL PASO a été acquis par GENERAL MILLS en 1995. La marque est active dans plus de 60 marchés à travers le monde, avec une forte présence en Amérique du Nord et en Europe.;La marque OLD EL PASO est directement détenue par GENERAL MILLS, INC. OLD EL PASO est une marque de produits alimentaires mexicains qui fait partie du portefeuille de marques de GENERAL MILLS. La marque a été acquise par GENERAL MILLS en 1995 lorsque l'entreprise a acheté la société de produits alimentaires, la société de produits alimentaires de la marque Old El Paso, qui était alors une filiale de la société de produits alimentaires de la marque. Depuis lors, OLD EL PASO a été intégrée dans les opérations de GENERAL MILLS et est distribuée dans de nombreux marchés à travers le monde. En ce qui concerne les changements récents, il n'y a pas eu de modifications significatives de la propriété ou des droits de distribution au cours des deux dernières années. OLD EL PASO est active dans plus de 60 pays, principalement en Amérique du Nord et en Europe, et se spécialise dans les produits alimentaires ethniques, notamment les kits de tacos, les tortillas et les sauces. La relation entre OLD EL PASO et GENERAL MILLS est celle d'une propriété directe.;https://www.generalmills.com | https://www.oldelpaso.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.prnewswire.com/news-releases/general-mills-acquires-old-el-paso-300000000.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;15;CHILLED (SELF-SERVICE);155 - ICE CREAM/FROZEN DESSERTS;1550 - ICE CREAM/SORBET TUB >100ML;HAAGEN DAZS;True;100.0;Propriété directe;Amérique du Nord, Europe, Asie;Häagen-Dazs a été acquis par Pillsbury en 1983, puis par General Mills en 2001. Aucun changement de propriété n'a eu lieu au cours des deux dernières années.;La marque Häagen-Dazs est directement détenue par General Mills, Inc. General Mills a acquis Häagen-Dazs en 2001, après que la marque ait été précédemment achetée par Pillsbury en 1983. Ainsi, la chaîne de propriété est la suivante : Häagen-Dazs → Pillsbury → General Mills. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste sous la propriété de General Mills. Häagen-Dazs est active dans plusieurs zones géographiques, notamment en Amérique du Nord, en Europe et en Asie, et se spécialise dans les glaces et desserts glacés. General Mills détient également les droits de distribution de la marque dans ces régions.;https://www.generalmills.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.businesswire.com/news/home/20210622005083/en/General-Mills-Announces-Completion-of-Acquisition-of-H%C3%A4agen-Dazs | https://www.generalmills.com/en/brands/haagen-dazs;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;15;CHILLED (SELF-SERVICE);155 - ICE CREAM/FROZEN DESSERTS;1551 - SNACKING ICE;HAAGEN DAZS;True;100.0;Propriété directe;Amérique du Nord, Europe, Asie;Häagen-Dazs a été acquis par Pillsbury en 1983, puis par General Mills en 2001. Aucun changement de propriété n'a eu lieu au cours des deux dernières années.;La marque Häagen-Dazs est directement détenue par General Mills, Inc. General Mills a acquis Häagen-Dazs en 2001, après que la marque ait été précédemment achetée par Pillsbury en 1983. Ainsi, la chaîne de propriété est la suivante : Häagen-Dazs → Pillsbury → General Mills. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste sous la propriété de General Mills. Häagen-Dazs est active dans plusieurs zones géographiques, notamment en Amérique du Nord, en Europe et en Asie, et se spécialise dans les glaces et desserts glacés. General Mills détient également les droits de distribution de la marque dans ces régions.;https://www.generalmills.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.businesswire.com/news/home/20210622005083/en/General-Mills-Announces-Completion-of-Acquisition-of-H%C3%A4agen-Dazs | https://www.generalmills.com/en/brands/haagen-dazs;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;141 - BISCUITS/CAKES/CEREAL/DRY BREAD;1413 - CEREALS/MUESLIS;NATURE VALLEY;True;100.0;Propriété directe;États-Unis, Canada, Europe, Asie;NATURE VALLEY a été créée en 1973 et a été acquise par GENERAL MILLS en 2001. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque NATURE VALLEY est directement détenue par GENERAL MILLS, Inc., une entreprise américaine qui est un fabricant et un commercialisateur de produits alimentaires. NATURE VALLEY a été créée en 1973 et a été acquise par GENERAL MILLS en 2001. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste sous la propriété de GENERAL MILLS. La marque est active principalement dans le secteur des céréales et des barres granola, et elle est distribuée dans plusieurs régions, y compris les États-Unis et d'autres marchés internationaux. GENERAL MILLS a des droits de distribution pour NATURE VALLEY dans ces zones géographiques.;https://www.generalmills.com | https://www.naturevalley.com | https://www.prnewswire.com/news-releases/general-mills-announces-agreements-to-sell-its-north-american-yogurt-business-to-lactalis-301623456.html | https://www.generalmills.com/en/brands/nature-valley;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;147 - TINNED FOODS;1473 - TINNED ATYPICAL VEGETABLES;GEANT VERT / GREEN GIANT / GIGANTE VERDE;True;100.0;Propriété directe;Amérique du Nord, Europe;GENERAL MILLS a acquis GREEN GIANT en 2001 lors de l'achat de Pillsbury. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque GEANT VERT / GREEN GIANT / GIGANTE VERDE est directement détenue par GENERAL MILLS. GREEN GIANT a été acquis par GENERAL MILLS en 2001, lorsque l'entreprise a acheté la société de produits alimentaires Pillsbury, qui possédait alors la marque. Depuis lors, GEANT VERT / GREEN GIANT / GIGANTE VERDE est intégrée dans le portefeuille de marques de GENERAL MILLS. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste sous la gestion de GENERAL MILLS. La marque est active principalement dans le secteur des légumes en conserve, et GENERAL MILLS a des droits de distribution dans plusieurs régions géographiques, notamment en Amérique du Nord et en Europe.;https://www.generalmills.com | https://www.green giant.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.prnewswire.com/news-releases/general-mills-acquires-pillsbury-74605232.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;147 - TINNED FOODS;1471 - TINNED SWEETCORN;GEANT VERT / GREEN GIANT / GIGANTE VERDE;True;100.0;Propriété directe;Amérique du Nord, Europe;GENERAL MILLS a acquis GREEN GIANT en 2001 lors de l'achat de Pillsbury. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque GEANT VERT / GREEN GIANT / GIGANTE VERDE est directement détenue par GENERAL MILLS. GREEN GIANT a été acquis par GENERAL MILLS en 2001, lorsque l'entreprise a acheté la société de produits alimentaires Pillsbury, qui possédait alors la marque. Depuis lors, GEANT VERT / GREEN GIANT / GIGANTE VERDE est intégrée dans le portefeuille de marques de GENERAL MILLS. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste sous la gestion de GENERAL MILLS. La marque est active principalement dans le secteur des légumes en conserve, et GENERAL MILLS a des droits de distribution dans plusieurs régions géographiques, notamment en Amérique du Nord et en Europe.;https://www.generalmills.com | https://www.green giant.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.prnewswire.com/news-releases/general-mills-acquires-pillsbury-74605232.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;15;CHILLED (SELF-SERVICE);155 - ICE CREAM/FROZEN DESSERTS;1552 - GATEAUX/PASTRIES/ICED DESSERT;HAAGEN DAZS;True;100.0;Propriété directe;Amérique du Nord, Europe, Asie;Häagen-Dazs a été acquis par Pillsbury en 1983, puis par General Mills en 2001. Aucun changement de propriété n'a eu lieu au cours des deux dernières années.;La marque Häagen-Dazs est directement détenue par General Mills, Inc. General Mills a acquis Häagen-Dazs en 2001, après que la marque ait été précédemment achetée par Pillsbury en 1983. Ainsi, la chaîne de propriété est la suivante : Häagen-Dazs → Pillsbury → General Mills. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste sous la propriété de General Mills. Häagen-Dazs est active dans plusieurs zones géographiques, notamment en Amérique du Nord, en Europe et en Asie, et se spécialise dans les glaces et desserts glacés. General Mills détient également les droits de distribution de la marque dans ces régions.;https://www.generalmills.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.businesswire.com/news/home/20210622005083/en/General-Mills-Announces-Completion-of-Acquisition-of-H%C3%A4agen-Dazs | https://www.generalmills.com/en/brands/haagen-dazs;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;149 - ETHNIC PRODUCTS;1491 - NORTH AMERICA;OLD EL PASO;True;100.0;Propriété directe;Amérique du Nord, Europe, Amérique Latine, Asie;OLD EL PASO a été acquis par GENERAL MILLS en 1995. La marque est active dans plus de 60 marchés à travers le monde, avec une forte présence en Amérique du Nord et en Europe.;La marque OLD EL PASO est directement détenue par GENERAL MILLS, INC. OLD EL PASO est une marque de produits alimentaires mexicains qui fait partie du portefeuille de marques de GENERAL MILLS. La marque a été acquise par GENERAL MILLS en 1995 lorsque l'entreprise a acheté la société de produits alimentaires, la société de produits alimentaires de la marque Old El Paso, qui était alors une filiale de la société de produits alimentaires de la marque. Depuis lors, OLD EL PASO a été intégrée dans les opérations de GENERAL MILLS et est distribuée dans de nombreux marchés à travers le monde. En ce qui concerne les changements récents, il n'y a pas eu de modifications significatives de la propriété ou des droits de distribution au cours des deux dernières années. OLD EL PASO est active dans plus de 60 pays, principalement en Amérique du Nord et en Europe, et se spécialise dans les produits alimentaires ethniques, notamment les kits de tacos, les tortillas et les sauces. La relation entre OLD EL PASO et GENERAL MILLS est celle d'une propriété directe.;https://www.generalmills.com | https://www.oldelpaso.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.prnewswire.com/news-releases/general-mills-acquires-old-el-paso-300000000.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;142 - CONFECTIONERY/CHOCOLATE;1423 - CHOCOLATE CONFECTIONERY;NATURE VALLEY;True;100.0;Propriété directe;États-Unis, Canada, Europe, Asie;NATURE VALLEY a été créée en 1973 et a été acquise par GENERAL MILLS en 2001. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque NATURE VALLEY est directement détenue par GENERAL MILLS, Inc., une entreprise américaine qui est un fabricant et un commercialisateur de produits alimentaires. NATURE VALLEY a été créée en 1973 et a été acquise par GENERAL MILLS en 2001. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste sous la propriété de GENERAL MILLS. La marque est active principalement dans le secteur des céréales et des barres granola, et elle est distribuée dans plusieurs régions, y compris les États-Unis et d'autres marchés internationaux. GENERAL MILLS a des droits de distribution pour NATURE VALLEY dans ces zones géographiques.;https://www.generalmills.com | https://www.naturevalley.com | https://www.prnewswire.com/news-releases/general-mills-announces-agreements-to-sell-its-north-american-yogurt-business-to-lactalis-301623456.html | https://www.generalmills.com/en/brands/nature-valley;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;143 - DESSERTS/BAKING INGREDIENTS;1433 - READY-MADE DESSERTS/PASTRY AID;BETTY CROCKER;True;100.0;Propriété directe;États-Unis, Canada, Europe;BETTY CROCKER a été acquise par GENERAL MILLS peu après sa création en 1921. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque BETTY CROCKER est directement détenue par GENERAL MILLS, une entreprise américaine spécialisée dans les produits alimentaires. BETTY CROCKER a été créée en 1921 et a été acquise par GENERAL MILLS peu après sa création. La marque est bien connue pour ses produits de desserts et d'ingrédients de pâtisserie, et elle fait partie intégrante du portefeuille de marques de GENERAL MILLS. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle continue d'être un pilier dans la catégorie des desserts et des ingrédients de pâtisserie. GENERAL MILLS a une présence mondiale avec des produits BETTY CROCKER disponibles dans de nombreux pays, notamment aux États-Unis, au Canada et dans plusieurs pays européens.;https://www.generalmills.com | https://www.bettycrocker.com | 2023 Annual Report de GENERAL MILLS | 10-K de GENERAL MILLS;False;Succès;
